Event	ID	Name			Wwise Object Path	Notes
	1548130050	jumpLand			\Default Work Unit\player\jumpLand	
	1844425226	jumpUp			\Default Work Unit\player\jumpUp	
	2385628198	footsteps			\Default Work Unit\player\footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	material			\Default Work Unit\material	

Switch	ID	Name	Switch Group			Notes
	803837735	sand	material			
	2058049674	wood	material			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9507948	ylg_footstepsWood_cut-region_10	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\ylg_footstepsWood_cut-region_10_D76AAD73.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\footsteps\footsteps\footstepsWood\ylg_footstepsWood_cut-region_10		29968
	71438769	ylg_footstepsWood_cut-region_03	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\ylg_footstepsWood_cut-region_03_39FD0CF6.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\footsteps\footsteps\footstepsWood\ylg_footstepsWood_cut-region_03		35296
	77161156	MH_Footsteps_Boots_Gravel_Step_1	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\MH_Footsteps_Boots_Gravel_Step_1_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\jumpLand\footstepsBoot\MH_Footsteps_Boots_Gravel_Step_1		293532
	82281851	MH_Footsteps_Trainer_Gravel_3	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\MH_Footsteps_Trainer_Gravel_3_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\jumpLand\footstepsTrainer\MH_Footsteps_Trainer_Gravel_3		265216
	93368146	ylg_footstepsWood_cut-region_12	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\ylg_footstepsWood_cut-region_12_67B861A4.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\footsteps\footsteps\footstepsWood\ylg_footstepsWood_cut-region_12		35828
	106090766	mh_jumpSounds_2019-00	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\mh_jumpSounds_2019-00_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\physicalJump\jumpUp\mh_jumpSounds_2019-00		46736
	158745698	ylg_footstepsWood_cut-region_05	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\ylg_footstepsWood_cut-region_05_B55A1C17.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\footsteps\footsteps\footstepsWood\ylg_footstepsWood_cut-region_05		30560
	188710802	mh_jumpSounds_2019-03	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\mh_jumpSounds_2019-03_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\physicalJump\jumpUp\mh_jumpSounds_2019-03		47892
	265041271	MH_Footsteps_Trainer_Gravel_4	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\MH_Footsteps_Trainer_Gravel_4_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\jumpLand\footstepsTrainer\MH_Footsteps_Trainer_Gravel_4		265216
	290354696	MH_Footsteps_Trainer_Gravel_5	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\MH_Footsteps_Trainer_Gravel_5_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\jumpLand\footstepsTrainer\MH_Footsteps_Trainer_Gravel_5		265216
	373216964	MH_Footsteps_Trainer_Gravel_9	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\MH_Footsteps_Trainer_Gravel_9_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\jumpLand\footstepsTrainer\MH_Footsteps_Trainer_Gravel_9		265216
	401008025	MH_Footsteps_Boots_Gravel_Step_4	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\MH_Footsteps_Boots_Gravel_Step_4_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\jumpLand\footstepsBoot\MH_Footsteps_Boots_Gravel_Step_4		303808
	501429664	ylg_footstepsWood_cut-region_11	D:\bearlyMatt\Wwise\Projects\mh_iseSubmission_1\.cache\Windows\SFX\ylg_footstepsWood_cut-region_11_ECD84BAB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player\footsteps\footsteps\footstepsWood\ylg_footstepsWood_cut-region_11		34408
